iter	Passed	Remaining
893	2132	252
894	2134	250
895	2136	247
896	2137	245
897	2139	243
898	2141	240
899	2144	238
900	2145	235
901	2147	233
902	2149	230
903	2151	228
904	2153	226
905	2155	223
906	2157	221
907	2159	218
908	2161	216
909	2162	213
910	2167	211
911	2169	209
912	2170	206
913	2173	204
914	2175	202
915	2177	199
916	2179	197
917	2180	194
918	2182	192
919	2184	189
920	2185	187
921	2187	185
922	2189	182
923	2191	180
924	2193	177
925	2194	175
926	2196	172
927	2198	170
928	2200	168
929	2202	165
930	2203	163
931	2205	160
932	2207	158
933	2208	156
934	2210	153
935	2211	151
936	2213	148
937	2214	146
938	2216	143
939	2218	141
940	2219	139
941	2221	136
942	2223	134
943	2225	132
944	2227	129
945	2228	127
946	2229	124
947	2231	122
948	2233	120
949	2235	117
950	2236	115
951	2238	112
952	2239	110
953	2241	108
954	2243	105
955	2244	103
956	2247	101
957	2249	98
958	2251	96
959	2252	93
960	2254	91
961	2255	89
962	2257	86
963	2259	84
964	2261	82
965	2262	79
966	2264	77
967	2266	74
968	2267	72
969	2269	70
970	2271	67
971	2273	65
972	2274	63
973	2277	60
974	2278	58
975	2280	56
976	2282	53
977	2284	51
978	2285	49
979	2287	46
980	2288	44
981	2290	41
982	2292	39
983	2294	37
984	2296	34
985	2298	32
986	2299	30
987	2301	27
988	2303	25
989	2305	23
990	2307	20
991	2308	18
992	2310	16
993	2312	13
994	2314	11
995	2315	9
996	2317	6
997	2318	4
998	2320	2
999	2322	0
